generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Yavnella_argamani,Martialis_heureka,0,0.032,0,0.005,0
10000,Yavnella_argamani,Martialis_heureka,0,0.125682,0.000627205,0.0790334,0
10000,Apomyrma_stygia,NA,62.8747,0.117909,-0.000889898,0.146,0
10000,Formica_lasioides,Formica_candida,121.09,0.358263,0.0220746,0.0469626,0
10000,Polyrhachis_equina,Camponotus_setosus,79.9614,0.245248,0.00266778,0.124345,0
20000,Yavnella_argamani,Martialis_heureka,0,0.0631449,0.0105314,0.0420952,0
20000,Aenictus_aratus,Cheliomyrmex_andicola,67.7689,0.253345,-0.00320565,0.0349226,0
20000,Labidus_praedator,NA,136.761,0.583865,-0.0017765,0.343192,0
20000,Formica_moki,Formica_lasioides,119.473,0.588802,-0.000134792,0.309187,0
20000,Polyrhachis_equina,Camponotus_setosus,80.3664,0.324544,-0.00324869,0.138358,0
20000,Myrmica_schoedli,Myrmica_luteola,104.538,0.394914,0.00302001,0.266963,0
20000,Aphaenogaster_japonica,Aphaenogaster_senilis,89.9688,0.126064,-7.59854e-05,0.00824187,0
20000,Xenomyrmex_floridanus,NA,85.1046,0.203345,0.00461828,0.211595,0
20000,Daceton_armigerum,NA,107.921,0.223858,0.00385585,0.326825,0
30000,Yavnella_argamani,Martialis_heureka,0,0.134369,0.000382724,0.0845828,0
30000,Aenictus_aratus,Cheliomyrmex_andicola,68.1948,0.205309,0.00183816,0.0763975,0
30000,Pseudomyrmex_fortis,Pseudomyrmex_termitarius,107.06,0.439373,0.00418322,0.342542,0
30000,Paraparatrechina_oceanica,NA,120.23,0.0737676,-0.00823533,0.0630403,0
30000,Notostigma_carazzii,NA,129.405,0.271149,0.000467261,0.586602,0
30000,Formica_neogagates,Formica_moki,112.693,0.320841,0.00146076,0.0095206,0
30000,Polyrhachis_equina,Camponotus_setosus,83.9822,0.196978,0.00894589,0.0965137,0
30000,Myrmica_rubra,Myrmica_punctiventris,113.944,0.528893,-0.00653389,0.280675,0
30000,Basiceros_manni,NA,129.11,0.085633,-0.00212132,0.250328,0
40000,Yavnella_argamani,Martialis_heureka,0,0.0620218,0.00858261,0.0363824,0
40000,Tatuidris_tatusia,NA,95.0223,0.083583,-0.00161147,0.143105,0
40000,Anochetus_grandidieri,Odontomachus_rixosus,103.778,0.396465,0.00378907,0.348285,0
40000,Sphinctomyrmex_stali,Cerapachys_jacobsoni,60.3015,0.194418,0.0100571,0.175455,0
40000,Doleromyrma_darwiniana,NA,132.525,0.0511909,-0.0210506,0.0337723,0
40000,Pseudomyrmex_viduus,Pseudomyrmex_peperi,119.99,0.266268,0.0122675,0.00374052,0
40000,Pseudomyrmex_fortis,Pseudomyrmex_termitarius,103.556,0.196507,0.00104334,0.021104,0
40000,Formica_neogagates,Formica_moki,117.455,0.300361,0.00694604,0.0426506,0
40000,Polyrhachis_equina,Camponotus_setosus,79.5162,0.222687,-0.00576691,0.0413748,0
40000,Myrmica_salina,Myrmica_schencki,119.314,0.276271,0.00516169,0.00101107,0
40000,Pogonomyrmex_mayri,Pogonomyrmex_naegelii,89.2439,0.14884,0.00843279,0.0687118,0
40000,Messor_capitatus,Aphaenogaster_occidentalis,101.236,0.249353,0.0100165,0.143735,0
40000,Crematogaster_paradoxa,Crematogaster_rothneyi,68.121,0.204951,0.0100286,0.147292,0
40000,Leptanilloides_nomada,Leptanilloides_gracilis,68.9683,0.029064,0.00439179,0.0189439,0
40000,Daceton_armigerum,NA,104.486,0.00327783,0.00176121,0.0489361,0
50000,Yavnella_argamani,Martialis_heureka,0,0.0546353,0.0126027,0.0249616,0
50000,Yavnella_argamani,Anomalomyrma_boltoni,41.6748,0.0154461,-0.00642033,0.00558149,0
50000,Apomyrma_stygia,NA,109.986,0.0717799,-0.00257127,0.187371,0
50000,Labidus_coecus,Neivamyrmex_pilosus,104.283,0.329149,-0.00187576,0.131135,0
50000,Nothomyrmecia_macrops,NA,119.481,0.146077,0.00509858,0.410295,0
50000,Formica_moki,Formica_lasioides,119.8,0.590629,-0.0119321,0.149862,0
50000,Pseudomyrmex_fortis,Pseudomyrmex_termitarius,94.2916,0.406121,-0.00114466,0.179067,0
50000,Polyrhachis_equina,Camponotus_setosus,80.2196,0.142177,0.00384112,0.0118274,0
50000,Messor_capitatus,Aphaenogaster_occidentalis,101.808,0.148746,0.00858117,0.0486531,0
50000,Perissomyrmex_snyderi,NA,112.836,0.0015791,-0.00128143,0.000909757,0
50000,Atopomyrmex_mocquerysi,NA,61.797,0.248925,0.00977025,0.0358136,0
50000,Atopomyrmex_mocquerysi,NA,92.8505,0.0280999,-0.00151303,0.157571,0
50000,Cardiocondyla_obscurior,Cardiocondyla_paradoxa,102.01,0.363219,-0.00120267,0.264288,0
50000,Crematogaster_paradoxa,Crematogaster_rothneyi,69.9309,0.248547,-0.00138039,0.0605156,0
50000,Monomorium_termitobium,Monomorium_exiguum,98.2062,0.304995,-0.000606539,0.204432,0
50000,Blepharidatta_brasiliensis,Blepharidatta_conops,100.155,0.0709392,-0.00352543,0.0908507,0
50000,Daceton_armigerum,NA,81.8985,0.00521514,-0.00156237,0.0252166,0
50000,Strumigenys_gundlachi,Strumigenys_maxillaris,81.4994,0.173396,0.00599424,0.0575082,0
60000,Yavnella_argamani,Martialis_heureka,0,0.142474,0.000271759,0.0991735,0
