Name,PM
Acromyrmex_hystrix,1
Acromyrmex_lobicornis,1
Acromyrmex_niger,1
Acromyrmex_octospinosus,1
Acromyrmex_striatus,1
Acromyrmex_subterraneus,1
Allomerus_decemarticulatus,1
Allomerus_octoarticulatus,1
Anochetus_emarginatus,1
Anonychomyrma_gilberti,1
Anonychomyrma_nitidiceps,1
Anonychomyrma_scrutator,1
Anoplolepis_custodiens,1
Anoplolepis_gracilipes,1
Anoplolepis_longipes,1
Anoplolepis_steingroeveri,1
Anoplolepis_tenella,1
Aphaenogaster_araneoides,1
Aphaenogaster_beccarii,1
Aphaenogaster_carolinensis,1
Aphaenogaster_cockerelli,1
Aphaenogaster_famelica,1
Aphaenogaster_fulva,1
Aphaenogaster_gibbosa,1
Aphaenogaster_iberica,1
Aphaenogaster_japonica,1
Aphaenogaster_longiceps,1
Aphaenogaster_occidentalis,1
Aphaenogaster_picea,1
Aphaenogaster_rudis,1
Aphaenogaster_senilis,1
Aphaenogaster_smythiesii,1
Aphaenogaster_spinosa,1
Aphaenogaster_subterranea,1
Aphaenogaster_swammerdami,1
Aphaenogaster_tennesseensis,1
Aphaenogaster_texana,1
Aphaenogaster_treatae,1
Aphomomyrmex_afer,1
Atta_cephalotes,1
Atta_colombica,1
Atta_sexdens,1
Azteca_alfari,1
Azteca_andreae,1
Azteca_australis,1
Azteca_bequaerti,1
Azteca_chartifex,1
Azteca_isthmica,1
Azteca_ovaticeps,1
Azteca_pittieri,1
Brachymyrmex_brevicornis,1
Brachymyrmex_depilis,1
Brachymyrmex_heeri,1
Brachymyrmex_minutus,1
Brachymyrmex_obscurior,1
Brachymyrmex_patagonicus,1
Brachyponera_chinensis,1
Brachyponera_lutea,1
Brachyponera_luteipes,1
Camponotus_acvapimensis,1
Camponotus_aethiops,1
Camponotus_balzani,1
Camponotus_blandus,1
Camponotus_castaneus,1
Camponotus_chromaiodes,1
Camponotus_compressus,1
Camponotus_consobrinus,1
Camponotus_crassus,1
Camponotus_cruentatus,1
Camponotus_femoratus,1
Camponotus_festinatus,1
Camponotus_floridanus,1
Camponotus_gigas,1
Camponotus_herculeanus,1
Camponotus_inflatus,1
Camponotus_innexus,1
Camponotus_intrepidus,1
Camponotus_japonicus,1
Camponotus_lateralis,1
Camponotus_lindigi,1
Camponotus_mus,1
Camponotus_naegelii,1
Camponotus_niveosetosus,1
Camponotus_novaehollandiae,1
Camponotus_novogranadensis,1
Camponotus_ocreatus,1
Camponotus_ogasawarensis,1
Camponotus_pallescens,1
Camponotus_pennsylvanicus,1
Camponotus_personatus,1
Camponotus_piceus,1
Camponotus_planatus,1
Camponotus_rubrithorax,1
Camponotus_rufipes,1
Camponotus_semitestaceus,1
Camponotus_sericeiventris,1
Camponotus_sericeus,1
Camponotus_silvestrii,1
Camponotus_singularis,1
Camponotus_tortuganus,1
Camponotus_vagus,1
Cardiocondyla_nuda,1
Carebara_urichi,1
Cataglyphis_cursor,1
Cataglyphis_piliscapa,1
Cataglyphis_velox,1
Cataulacus_intrudens,1
Cataulacus_mckeyi,1
Cephalotes_atratus,1
Cephalotes_minutus,1
Cephalotes_multispinosus,1
Cephalotes_pusillus,1
Cephalotes_setulifer,1
Cladomyrma_petalae,1
Crematogaster_ashmeadi,1
Crematogaster_borneensis,1
Crematogaster_brasiliensis,1
Crematogaster_californica,1
Crematogaster_carinata,1
Crematogaster_cephalotes,1
Crematogaster_cerasi,1
Crematogaster_coarctata,1
Crematogaster_crinosa,1
Crematogaster_curvispinosa,1
Crematogaster_depilis,1
Crematogaster_difformis,1
Crematogaster_dohrni,1
Crematogaster_erecta,1
Crematogaster_formosa,1
Crematogaster_inflata,1
Crematogaster_laeviceps,1
Crematogaster_laevis,1
Crematogaster_limata,1
Crematogaster_lineolata,1
Crematogaster_lucayana,1
Crematogaster_matsumurai,1
Crematogaster_mimosae,1
Crematogaster_nigriceps,1
Crematogaster_opaca,1
Crematogaster_opuntiae,1
Crematogaster_osakensis,1
Crematogaster_peringueyi,1
Crematogaster_pilosa,1
Crematogaster_pygmaea,1
Crematogaster_rothneyi,1
Crematogaster_scutellaris,1
Crematogaster_steinheili,1
Crematogaster_teranishii,1
Crematogaster_treubi,1
Cyphomyrmex_major,1
Cyphomyrmex_rimosus,1
Diacamma_rugosum,1
Dinoponera_quadriceps,1
Discothyrea_oculata,1
Doleromyrma_darwiniana,1
Dolichoderus_bidens,1
Dolichoderus_bispinosus,1
