"","x"
"Yavnella argamani",0
"Anomalomyrma boltoni",0
"Martialis heureka",0
"Proceratium stictum",0
"Discothyrea testacea",0
"Probolomyrmex tani",0
"Apomyrma stygia",0
"Onychomyrmex hedleyi",0
"Amblyopone australis",0
"Prionopelta amabilis",0
"Myopopone castanea",0
"Stigmatomma pallipes",0
"Mystrium camillae",0
"Mystrium mysticum",0
"Mystrium rogeri",0
"Mystrium barrybressleri",0
"Mystrium oberthueri",0
"Paraponera clavata",1
"Tatuidris tatusia",0
"Platythyrea quadridenta",0
"Platythyrea prizo",0
"Platythyrea parallela",0
"Platythyrea lamellosa",0
"Platythyrea conradti",0
"Platythyrea strenua",0
"Platythyrea punctata",0
"Platythyrea pilosula",0
"Diacamma rugosum",1
"Cryptopone gilva",0
"Cryptopone sauteri",0
"Ectomomyrmex javanus",0
"Ponera exotica",0
"Ponera pennsylvanica",0
"Thaumatomyrmex atrox",0
"Dinoponera gigantea",0
"Dinoponera australis",0
"Pachycondyla harpax",0
"Pachycondyla impressa",0
"Pachycondyla crassinoda",0
"Neoponera villosa",0
"Neoponera unidentata",0
"Hypoponera punctatissima",0
"Hypoponera opacior",0
"Harpegnathos saltator",0
"Harpegnathos venator",0
"Centromyrmex feae",0
"Psalidomyrmex procerus",0
"Plectroctena minor",0
"Plectroctena mandibularis",0
"Leptogenys diminuta",0
"Leptogenys chinensis",0
"Leptogenys attenuata",0
"Leptogenys falcigera",0
"Leptogenys maxillosa",0
"Hagensia havilandi",0
"Brachyponera sennaarensis",0
"Phrynoponera gabonensis",0
"Buniapone amblyops",0
"Ophthalmopone berthoudi",0
"Streblognathus peetersi",0
"Anochetus grandidieri",0
"Anochetus princeps",0
"Anochetus ghilianii",0
"Anochetus mayri",0
"Odontomachus rixosus",0
"Odontomachus coquereli",0
"Odontomachus hastatus",1
"Odontomachus meinerti",0
"Odontomachus clarus",0
"Odontomachus brunneus",1
"Odontomachus relictus",0
"Odontomachus ruginodis",0
"Odontomachus opaciventris",0
"Odontomachus simillimus",0
"Odontomachus troglodytes",0
"Leptanilloides nomada",0
"Leptanilloides mckennae",0
"Leptanilloides gracilis",0
"Leptanilloides femoralis",0
"Acanthostichus brevicornis",0
"Acanthostichus quadratus",0
"Sphinctomyrmex stali",0
"Cerapachys jacobsoni",0
"Aenictus aratus",0
"Aenictus laeviceps",0
"Aenictus ceylonicus",0
"Aenictus turneri",0
"Aenictus rotundatus",0
"Aenictus eugenii",0
"Dorylus orientalis",0
"Dorylus kohli",0
"Dorylus affinis",0
"Dorylus helvolus",0
"Dorylus fulvus",0
"Dorylus gribodoi",0
"Dorylus mayri",0
"Dorylus nigricans",0
"Dorylus wilverthi",0
"Cheliomyrmex andicola",0
"Labidus coecus",0
"Nomamyrmex esenbeckii",0
"Eciton burchellii",0
"Eciton hamatum",0
"Eciton vagans",0
"Eciton mexicanum",0
"Eciton dulcium",0
"Neivamyrmex pilosus",0
"Neivamyrmex opacithorax",0
"Neivamyrmex nigrescens",0
"Neivamyrmex swainsonii",0
"Neivamyrmex halidaii",0
"Aneuretus simoni",0
"Aptinoma mangabe",0
"Aptinoma antongil",0
"Liometopum luctuosum",0
"Liometopum apiculatum",1
"Tapinoma subtile",1
"Tapinoma erraticum",1
"Tapinoma melanocephalum",1
"Tapinoma sessile",1
"Technomyrmex albipes",1
"Technomyrmex vitiensis",0
"Technomyrmex voeltzkowi",0
"Technomyrmex difficilis",0
"Ravavy miafina",0
"Loweriella boltoni",0
"Bothriomyrmex paradoxus",0
"Bothriomyrmex meridionalis",0
"Bothriomyrmex saundersi",0
"Dolichoderus decollatus",0
"Dolichoderus pustulatus",0
"Dolichoderus debilis",0
"Gracilidris pombero",0
"Azteca beltii",0
"Azteca oecocordia",0
"Azteca pittieri",1
"Azteca instabilis",0
"Azteca ovaticeps",1
"Azteca schimperi",0
"Forelius chalybaeus",0
"Forelius pruinosus",1
"Leptomyrmex pallens",0
"Leptomyrmex flavitarsus",0
"Papyrius nitidus",0
"Anonychomyrma itinerans",0
"Anonychomyrma gilberti",1
"Nebothriomyrmex majeri",0
"Philidris cordata",0
"Froggattella kirbii",0
"Linepithema angulatum",0
"Linepithema piliferum",0
"Linepithema iniquum",0
"Linepithema neotropicum",0
"Linepithema humile",1
"Linepithema micans",0
"Nothomyrmecia macrops",0
"Myrmecia gulosa",0
"Myrmecia brevinoda",0
"Myrmecia nigrocincta",0
"Myrmecia tarsata",0
"Myrmecia nigriscapa",0
"Myrmecia urens",0
"Myrmecia froggatti",0
"Myrmecia fulvipes",0
"Myrmecia michaelseni",0
"Myrmecia varians",0
"Myrmecia pilosula",0
"Myrmecia croslandi",0
"Tetraponera pilosa",0
"Tetraponera rufonigra",0
"Tetraponera latifrons",0
"Tetraponera aethiops",1
"Tetraponera anthracina",0
"Tetraponera natalensis",0
"Tetraponera ambigua",1
"Tetraponera attenuata",0
"Tetraponera nigra",0
"Tetraponera binghami",0
"Tetraponera punctulata",0
"Tetraponera penzigi",1
"Tetraponera tessmanni",1
"Tetraponera microcarpa",0
"Tetraponera allaborans",0
"Myrcidris epicharis",1
"Pseudomyrmex fortis",1
"Pseudomyrmex unicolor",0
"Pseudomyrmex nigropilosus",0
"Pseudomyrmex gracilis",1
"Pseudomyrmex termitarius",1
"Pseudomyrmex tenuis",0
"Pseudomyrmex salvini",0
"Pseudomyrmex apache",0
"Pseudomyrmex championi",0
"Pseudomyrmex elongatulus",0
"Pseudomyrmex phyllophilus",0
"Pseudomyrmex penetrator",1
"Pseudomyrmex concolor",1
"Pseudomyrmex viduus",1
"Pseudomyrmex triplarinus",1
"Pseudomyrmex dendroicus",1
"Pseudomyrmex cubaensis",0
"Pseudomyrmex elongatus",0
"Pseudomyrmex peperi",0
"Pseudomyrmex satanicus",0
"Pseudomyrmex spinicola",1
"Pseudomyrmex veneficus",1
"Pseudomyrmex ferrugineus",1
"Pseudomyrmex flavicornis",0
"Pseudomyrmex simplex",0
