Name,Food_Body
Acanthognathus brevicornis,0
Acanthognathus ocellatus,0
Acanthognathus rudis,0
Acanthognathus teledectus,0
Acanthomyrmex ferox,0
Acanthomyrmex glabfemoralis,0
Acanthomyrmex humilis,0
Acanthomyrmex luciolae,0
Acanthomyrmex thailandensis,0
Acanthoponera mucronata,0
Acanthostichus brevicornis,0
Acanthostichus fuscipennis,0
Acanthostichus longinodis,0
Acanthostichus quadratus,0
Acanthostichus serratulus,0
Acromyrmex ambiguus,0
Acromyrmex ameliae,0
Acromyrmex aspersus,0
Acromyrmex balzani,0
Acromyrmex coronatus,0
Acromyrmex crassispinus,0
Acromyrmex disciger,0
Acromyrmex echinatior,0
Acromyrmex heyeri,0
Acromyrmex hispidus,0
Acromyrmex hystrix,0
Acromyrmex insinuator,0
Acromyrmex landolti,0
Acromyrmex laticeps,0
Acromyrmex lobicornis,0
Acromyrmex lundii,0
Acromyrmex niger,0
Acromyrmex nobilis,0
Acromyrmex octospinosus,0
Acromyrmex rugosus,0
Acromyrmex striatus,0
Acromyrmex subterraneus,0
Acromyrmex versicolor,0
Acromyrmex volcanus,0
Acropyga acutiventris,0
Acropyga arnoldi,0
Acropyga ayanganna,0
Acropyga bakwele,0
Acropyga decedens,0
Acropyga epedana,0
Acropyga exsanguis,0
Acropyga fuhrmanni,0
Acropyga goeldii,0
Acropyga gowdeyi,0
Acropyga kinomurai,0
Acropyga myops,0
Acropyga nipponensis,0
Acropyga paleartica,0
Acropyga sauteri,0
Adelomyrmex betoi,0
Adelomyrmex brenesi,0
Adelomyrmex laevigatus,0
Adelomyrmex myops,0
Adelomyrmex tristani,0
Adetomyrma venatrix,0
Adlerzia froggatti,0
Aenictogiton fossiceps,0
Aenictus appressipilosus,0
Aenictus arabicus,0
Aenictus aratus,0
Aenictus asantei,0
Aenictus baliensis,0
Aenictus binghami,0
Aenictus bobaiensis,0
Aenictus brevipodus,0
Aenictus camposi,0
Aenictus ceylonicus,0
Aenictus changmaianus,0
Aenictus concavus,0
Aenictus congolensis,0
Aenictus currax,0
Aenictus cylindripetiolus,0
Aenictus decolor,0
Aenictus dentatus,0
Aenictus dlusskyi,0
Aenictus doryloides,0
Aenictus eguchii,0
Aenictus eugenii,0
Aenictus fergusoni,0
Aenictus fuchuanensis,0
Aenictus glabratus,0
Aenictus gonioccipus,0
Aenictus gracilis,0
Aenictus gutianshanensis,0
Aenictus hodgsoni,0
Aenictus hottai,0
Aenictus idoneus,0
Aenictus indicus,0
Aenictus itoi,0
Aenictus javanus,0
Aenictus jawadwipa,0
Aenictus khaoyaiensis,0
Aenictus kutai,0
Aenictus laeviceps,0
Aenictus latifemoratus,0
Aenictus lifuiae,0
Aenictus longicephalus,0
Aenictus maneerati,0
Aenictus minipetiolus,0
Aenictus minutulus,0
Aenictus pachycerus,0
Aenictus pangantihoni,0
Aenictus paradentatus,0
Aenictus philippinensis,0
Aenictus piercei,0
Aenictus pilosus,0
Aenictus pinkaewi,0
Aenictus rabori,0
Aenictus rhodiensis,0
Aenictus rixator,0
Aenictus rotundatus,0
Aenictus silvestrii,0
Aenictus stenocephalus,0
Aenictus sulawesiensis,0
Aenictus sundalandensis,0
Aenictus thailandianus,0
Aenictus turneri,0
Aenictus vieti,0
Aenictus watanasiti,0
Aenictus wilaiae,0
Aenictus wilsoni,0
Aenictus wiwatwitayai,0
Aenictus wroughtonii,0
Aenictus wudangshanensis,0
Aenictus yamanei,0
Aenictus yangi,0
Agraulomyrmex meridionalis,0
Agraulomyrmex wilsoni,0
Allomerus brevipilosus,0
Allomerus decemarticulatus,0
Allomerus octoarticulatus,0
Amblyopone australis,0
Aneuretus simoni,0
Anillidris bruchi,0
Anillomyrma decamera,0
Anillomyrma tridens,0
Anochetus armstrongi,0
Anochetus bispinosus,0
Anochetus brevis,0
Anochetus bytinskii,0
Anochetus cryptus,0
Anochetus evansi,0
Anochetus faurei,0
Anochetus ghilianii,0
Anochetus graeffei,0
Anochetus grandidieri,0
Anochetus hohenbergiae,0
Anochetus horridus,0
Anochetus incultus,0
Anochetus isolatus,0
Anochetus kempfi,0
Anochetus leyticus,0
Anochetus maryatiae,0
Anochetus mayri,0
Anochetus micans,0
Anochetus miserabilis,0
Anochetus modicus,0
Anochetus oriens,0
Anochetus pangantihoni,0
Anochetus princeps,0
Anochetus rectangularis,0
Anochetus risii,0
Anochetus ruginotus,0
Anochetus schoedli,0
Anochetus sedilloti,0
Anochetus subcoecus,0
Anochetus taiwaniensis,0
Anochetus tua,0
Anochetus turneri,0
Anochetus validus,0
Anochetus werneri,0
Anomalomyrma boltoni,0
Anomalomyrma helenae,0
Anomalomyrma taylori,0
Anonychomyrma gilberti,0
Anonychomyrma itinerans,0
Anonychomyrma procidua,0
Anonychomyrma scrutator,0
Anoplolepis braunsi,0
Anoplolepis custodiens,0
Anoplolepis gracilipes,0
Anoplolepis longipes,0
Anoplolepis steingroeveri,0
Anoplolepis tenella,0
Aphaenogaster aktaci,0
Aphaenogaster albisetosa,0
Aphaenogaster araneoides,0
Aphaenogaster atlantis,0
Aphaenogaster balcanica,0
Aphaenogaster barbara,0
Aphaenogaster barbigula,0
Aphaenogaster baronii,0
Aphaenogaster beccarii,0
Aphaenogaster beesoni,0
Aphaenogaster boulderensis,0
Aphaenogaster cardenai,0
Aphaenogaster carolinensis,0
Aphaenogaster cecconii,0
Aphaenogaster cockerelli,0
Aphaenogaster crocea,0
Aphaenogaster dlusskyi,0
Aphaenogaster edentula,0
Aphaenogaster ensifera,0
Aphaenogaster epirotes,0
Aphaenogaster famelica,0
Aphaenogaster flemingi,0
Aphaenogaster floridana,0
Aphaenogaster fulva,0
Aphaenogaster gemella,0
Aphaenogaster gibbosa,0
Aphaenogaster holtzi,0
Aphaenogaster huachucana,0
Aphaenogaster iberica,0
Aphaenogaster incurviclypea,0
Aphaenogaster inermis,0
Aphaenogaster ionia,0
Aphaenogaster iranica,0
Aphaenogaster januschevi,0
Aphaenogaster japonica,0
Aphaenogaster koniari,0
