generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,4.81417,-4529.91,1,0
10000,3,11.4777,-3693.1,3.25603,0.347965
20000,8,26.5169,-3642.04,5.71921,0.342133
30000,8,29.8023,-3625.76,3.97972,0.3349
40000,14,54.0648,-3560.94,9.14446,0.3161
50000,17,71.9072,-3579.63,6.6931,0.3498
60000,12,45.6189,-3567.86,4.49951,0.343028
70000,22,78.1009,-3555.62,11.4671,0.3306
80000,17,61.991,-3494.06,8.96842,0.3459
90000,20,72.8267,-3550.67,11.8855,0.35685
100000,15,56.001,-3505.28,6.58314,0.3314
110000,18,70.7909,-3518.06,8.11371,0.36205
120000,17,55.2467,-3542.96,17.2384,0.33758
130000,17,63.4995,-3483.1,6.37301,0.332367
140000,19,57.3514,-3471.51,11.0507,0.3358
150000,19,63.79,-3473.13,9.64297,0.362575
160000,20,66.7473,-3506.31,11.1316,0.327825
170000,22,71.036,-3445.11,17.1276,0.34175
180000,25,92.0405,-3475.22,12.5472,0.3127
190000,24,74.3891,-3439.94,9.3056,0.33264
200000,30,105.882,-3399.32,14.7999,0.3567
210000,33,110.084,-3418.73,13.7556,0.3606
220000,25,84.8209,-3477.96,10.8119,0.3382
230000,29,110.732,-3432.16,15.5767,0.359875
240000,26,82.0433,-3405.8,13.4122,0.363533
250000,28,88.0077,-3411.58,15.9591,0.3489
260000,32,94.9508,-3406.41,18.5939,0.3465
270000,27,95.0366,-3449.05,14.3159,0.328
280000,32,111.531,-3411.85,16.2368,0.3584
290000,26,89.1484,-3432.68,9.20854,0.32365
300000,24,79.752,-3402.99,9.44432,0.341096
310000,28,87.0873,-3394.7,12.3948,0.3522
320000,31,105.735,-3396.71,17.4595,0.334933
330000,29,100.501,-3392.79,11.0112,0.342733
340000,27,94.1653,-3406.6,9.44028,0.3605
350000,32,112.007,-3392.82,14.4105,0.354775
360000,29,91.1718,-3408.61,15.1394,0.3501
370000,28,97.3234,-3397.73,13.1628,0.344933
380000,31,107.14,-3352.43,18.4102,0.3496
390000,34,96.5659,-3362.02,18.8198,0.3412
400000,34,124.237,-3352.51,18.3557,0.3487
410000,32,129.148,-3356.05,12.9781,0.3615
420000,29,92.7612,-3380.36,11.5732,0.350167
430000,31,114.705,-3374.59,15.5457,0.34955
440000,30,111.401,-3362.6,13.3154,0.3456
450000,28,96.3739,-3373.9,14.8038,0.3482
460000,33,115.51,-3370.66,23.6277,0.3355
470000,32,121.917,-3363.31,12.4879,0.3471
480000,31,102.135,-3384.52,15.6808,0.320983
490000,31,104.136,-3380.87,15.9096,0.3458
500000,29,104.8,-3356.14,13.2171,0.3357
510000,30,100.82,-3367.15,15.1953,0.3256
520000,34,124.199,-3372.01,18.8845,0.3314
530000,28,91.7305,-3396.61,10.7988,0.336644
540000,30,96.2699,-3383.29,18.5567,0.3489
550000,32,83.5976,-3375.92,18.3574,0.327417
560000,33,113.315,-3384.09,13.2567,0.35105
570000,24,76.3995,-3409.05,15.1651,0.3434
580000,29,102.338,-3385.58,13.1714,0.33795
590000,26,90.7804,-3395.38,9.12833,0.3387
600000,26,82.0233,-3428.05,15.5241,0.345732
610000,26,81.5468,-3394.66,11.9325,0.3375
620000,27,88.4412,-3405.95,13.854,0.34566
630000,32,106.815,-3373.03,14.7695,0.33495
640000,25,76.3491,-3387.82,14.8322,0.3389
650000,32,97.6092,-3384.29,17.9085,0.3383
660000,36,121.524,-3369.74,18.4175,0.341414
670000,34,114.361,-3379.25,13.6204,0.34492
680000,33,117.328,-3382.51,13.5176,0.35155
690000,33,122.832,-3381.89,8.50818,0.341
700000,32,113.885,-3381.62,15.1567,0.3275
710000,41,152.001,-3372.03,20.4243,0.3584
720000,32,106.046,-3352.86,16.7073,0.3494
730000,32,102.715,-3359.47,22.7742,0.3298
740000,28,100.831,-3408.84,14.5361,0.351643
750000,25,75.9227,-3401.46,12.447,0.3416
760000,28,92.3683,-3409.56,15.9898,0.35225
770000,30,95.5662,-3345.59,15.7073,0.342825
780000,31,109.953,-3352.9,18.457,0.3335
790000,32,96.8212,-3418.23,18.6553,0.339274
800000,29,101.424,-3348.71,14.7865,0.3319
810000,30,118.049,-3353.02,12.2074,0.341
820000,29,108.609,-3378.73,14.2503,0.3435
830000,25,85.1293,-3360.51,14.6363,0.33835
840000,29,93.94,-3357.65,14.8893,0.3364
850000,35,112.815,-3348.2,18.0596,0.3419
860000,31,106.412,-3406.29,16.9778,0.3612
870000,31,100.7,-3409.16,12.5849,0.3571
880000,37,129.527,-3364.15,17.5647,0.3352
890000,35,130.899,-3348.38,14.5817,0.3403
900000,32,110.416,-3364.96,18.8248,0.3433
910000,32,119.062,-3372.56,14.0326,0.3506
920000,35,125.236,-3355.01,19.8642,0.3517
930000,29,90.498,-3402.62,15.5925,0.34785
940000,31,117.724,-3358.49,14.1692,0.3342
950000,34,113.984,-3352.39,22.769,0.3312
960000,34,119.414,-3355.98,18.1068,0.3411
970000,34,121.446,-3355.41,12.5136,0.3243
980000,34,106.647,-3362.17,16.3005,0.33177
990000,33,100.135,-3359.79,17.9298,0.3324
1000000,35,117.88,-3360.5,17.9245,0.339
1010000,29,105.29,-3392.26,11.3374,0.337795
1020000,26,77.0378,-3370.08,11.1489,0.30905
1030000,30,109.773,-3409.05,16.2372,0.34464
1040000,26,90.9051,-3360.38,15.271,0.331071
1050000,31,108.361,-3384.7,12.6296,0.32975
1060000,28,85.8399,-3392.7,16.8886,0.332667
1070000,30,103.751,-3375.49,11.1967,0.3461
1080000,32,97.4764,-3352.58,15.5037,0.3355
1090000,31,99.9461,-3332.99,14.0123,0.3301
1100000,28,89.32,-3389.68,16.337,0.3326
1110000,30,112.381,-3394.23,12.3516,0.33286
1120000,25,88.669,-3390.89,11.9617,0.331
1130000,27,93.4297,-3388.34,13.5032,0.336633
1140000,27,79.6495,-3390.98,16.4642,0.3182
1150000,30,110.076,-3392.05,14.8541,0.3312
1160000,30,105.592,-3394.94,14.236,0.3469
1170000,29,104.015,-3385.19,15.5757,0.336662
