,i,lambda0,lambda1,mu0,mu1,q01,q10,p,div0,div1
1,1,0.156872089,0.60848598,0.168054372,0.254012038,0.010907188,0.385937573,-3832.064879,-0.011182283,0.354473942
2,2,0.15764045,0.596791982,0.155306015,0.261007699,0.01275377,0.386835767,-3831.719479,0.002334434,0.335784282
3,3,0.145966044,0.607555878,0.149091177,0.2598719,0.012562674,0.392806786,-3830.734417,-0.003125133,0.347683979
4,4,0.144188167,0.608433696,0.145889061,0.263518175,0.012109112,0.390099087,-3830.422219,-0.001700894,0.344915521
5,5,0.145700242,0.608100051,0.144167983,0.264496171,0.011961558,0.392547732,-3830.876029,0.001532259,0.34360388
6,6,0.142897852,0.6091419,0.151453833,0.267404578,0.012177008,0.391009786,-3831.711983,-0.008555981,0.341737323
7,7,0.151484946,0.614498517,0.163079614,0.264169317,0.011241355,0.39324283,-3831.890767,-0.011594668,0.350329199
8,8,0.166942973,0.611528955,0.166923212,0.256139932,0.011207181,0.397360131,-3831.260382,1.97613E-05,0.355389024
9,9,0.173656621,0.605566079,0.182817343,0.256891643,0.012186111,0.392430932,-3832.568194,-0.009160722,0.348674436
10,10,0.178998243,0.60036231,0.178930585,0.262022733,0.011113859,0.391901706,-3833.429574,6.76572E-05,0.338339577
11,11,0.178921964,0.599755794,0.178387291,0.249534281,0.010654536,0.391288129,-3831.605751,0.000534673,0.350221513
12,12,0.169181752,0.599104534,0.175432842,0.243187728,0.009968696,0.380554889,-3831.617475,-0.00625109,0.355916806
13,13,0.170890673,0.581773295,0.17132748,0.238321478,0.010668039,0.387518904,-3830.801088,-0.000436808,0.343451817
14,14,0.162580023,0.596904029,0.164046775,0.24774357,0.011282973,0.391602448,-3830.391862,-0.001466752,0.349160459
15,15,0.16346696,0.599897491,0.166256249,0.242460938,0.00900775,0.39061958,-3830.715157,-0.002789289,0.357436553
16,16,0.161898505,0.611463216,0.161329381,0.250877422,0.01059207,0.405629281,-3831.3877,0.000569124,0.360585793
17,17,0.156784252,0.61274609,0.16131565,0.24391522,0.011133439,0.406117535,-3830.866655,-0.004531398,0.36883087
18,18,0.155532912,0.611372849,0.162264471,0.246152221,0.011492217,0.410885699,-3830.780355,-0.00673156,0.365220629
19,19,0.155413474,0.617220228,0.163906022,0.250404644,0.010056558,0.398906197,-3831.163547,-0.008492548,0.366815584
20,20,0.155366872,0.603299433,0.163247097,0.22762216,0.008860473,0.411737381,-3831.700655,-0.007880224,0.375677274
21,21,0.146794488,0.60448916,0.146842767,0.233173446,0.008766347,0.403958286,-3831.648562,-4.82787E-05,0.371315714
22,22,0.13676021,0.61407832,0.145655935,0.23281358,0.009794137,0.42160738,-3831.879405,-0.008895725,0.38126474
23,23,0.137823835,0.62187623,0.137261033,0.231725786,0.01046781,0.429367787,-3832.194906,0.000562802,0.390150444
24,24,0.128640912,0.619833311,0.127433862,0.231468654,0.011577996,0.434841703,-3832.347261,0.00120705,0.388364657
25,25,0.126419287,0.624197238,0.133388465,0.232714361,0.011085039,0.432245195,-3831.969979,-0.006969177,0.391482876
26,26,0.130386859,0.623572727,0.136739862,0.235929834,0.012552306,0.433416169,-3831.975189,-0.006353003,0.387642893
27,27,0.124753173,0.613107429,0.130967957,0.241148202,0.015291212,0.429628225,-3833.397361,-0.006214784,0.371959227
28,28,0.120023655,0.602043705,0.134103484,0.243723171,0.01837182,0.434237263,-3837.917893,-0.014079829,0.358320533
29,29,0.135529905,0.589972739,0.143741136,0.237259831,0.015623255,0.423164367,-3834.303194,-0.008211231,0.352712908
30,30,0.138209438,0.596978906,0.143551198,0.237730484,0.013808428,0.404662467,-3832.053872,-0.00534176,0.359248422
31,31,0.142603365,0.580463395,0.138131588,0.219573802,0.012118028,0.404597865,-3830.691499,0.004471777,0.360889593
32,32,0.143018692,0.572548692,0.146610097,0.206041152,0.008519613,0.400314437,-3830.682835,-0.003591405,0.36650754
33,33,0.136515904,0.575919151,0.150763573,0.213495626,0.009925285,0.389988542,-3831.288188,-0.014247669,0.362423524
34,34,0.146245497,0.571832862,0.152729246,0.21369506,0.010082861,0.38499788,-3829.38244,-0.006483749,0.358137802
35,35,0.148170358,0.560973144,0.152222549,0.216596251,0.011488967,0.385659318,-3829.26533,-0.004052191,0.344376893
36,36,0.152961096,0.56222641,0.167216768,0.211969574,0.011210673,0.392259313,-3831.913602,-0.014255672,0.350256836
37,37,0.151937041,0.574406287,0.158061175,0.213495434,0.010568109,0.406490107,-3830.084666,-0.006124133,0.360910853
